Country.Name,Country.Code,Indicator.Name,Indicator.Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bosnia and Herzegovina,BIH,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,16.4057,16.7597,16.3737,17.6121,19.0587,19.6184,19.5707,20.167,20.9674,21.6848,21.0547,23.136,24.2221,25.6748,26.7088,27.7768,28.6231,27.044,27.2212,27.5385,32.8079,29.7281,22.8146,19.508,6.4923,6.5064,7.2001,12.5004,15.658,16.0811,19.8035,19.3401,20.4384,20.8549,22.366,23.113,25.2879,26.5445,28.0069,27.7908,28.3376,31.623,29.5128,29.3288,27.863,27.819,31.2268,31.8294,32.232,30.5258,30.4448,30.2787,30.2397,29.398,
Belarus,BLR,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,89.0421,90.2188,95.3201,102.2541,109.0831,115.317,119.1083,122.2878,126.5132,130.0573,133.5862,135.317,136.1943,137.3742,137.2671,137.4279,137.8747,138.7634,136.5758,133.3405,139.9221,135.0517,123.3268,109.1247,95.5353,86.7889,86.9665,86.927,85.3072,82.765,80.0146,78.6158,78.5267,79.0934,83.0526,83.2334,86.1537,84.7515,92.3989,89.7154,94.9244,92.2659,93.9041,94.451,93.8678,89.2526,88.4504,90.188,93.5,91.3407,88.5806,88.6952,86.8031,84.2776,
Belize,BLZ,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,0.2739,0.2947,0.3133,0.3187,0.324,0.3438,0.337,0.3483,0.3488,0.3509,0.356,0.3546,0.3524,0.3738,0.3659,0.3638,0.3874,0.3759,0.3678,0.4156,0.4725,0.4904,0.4861,0.4696,0.4722,0.4556,0.4395,0.5341,0.5523,0.5696,0.5025,0.5244,0.5393,0.5681,0.5443,0.5693,0.6615,0.6909,0.7015,0.7617,0.8034,0.7732,0.7445,0.811,0.7662,0.8187,0.8433,0.8859,0.8463,0.8809,0.8333,0.8681,0.8914,0.9203,
Bermuda,BMU,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,0.1612,0.1628,0.1936,0.195,0.1757,0.2086,0.1914,0.2093,0.2095,0.2077,0.2062,0.1792,0.178,0.1835,0.1969,0.1924,0.1888,0.2761,0.3203,0.3932,0.2819,0.2567,0.2078,0.2292,0.2273,0.2285,0.2325,0.2383,0.2438,0.2469,0.1776,0.1761,0.1933,0.199,0.201,0.2144,0.2612,0.3077,0.3096,0.2743,0.3394,0.1802,0.2047,0.2251,0.3011,0.2589,0.3414,0.3144,0.3409,0.3877,0.3441,0.3596,0.3606,0.3788,
Bolivia,BOL,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,27.0111,28.0362,32.6608,34.2155,34.0449,32.8313,34.1876,31.9069,33.0193,30.9563,30.3144,28.1012,29.3812,30.2415,28.6779,28.9058,26.5375,27.6395,28.3787,29.9965,29.6214,31.4071,32.7298,34.9007,36.9459,29.2142,29.0576,33.4365,30.7719,30.0547,29.3881,27.8795,29.0716,30.0199,31.3845,31.9481,32.9925,35.0199,36.1713,37.5713,40.9276,41.7005,43.4488,45.2516,46.2783,47.242,48.991,49.6266,50.2782,51.1827,48.0161,52.1085,53.5025,55.1857,
Brazil,BRA,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,349.4056,357.3927,378.1269,405.5823,433.218,455.8266,492.8154,510.4049,525.6185,548.9217,576.0795,563.6862,569.9791,566.2613,587.0007,605.633,637.9547,655.5983,670.5537,680.6232,671.5763,699.2465,720.5591,746.2947,776.0236,813.585,819.9519,845.6166,862.034,876.4945,898.9569,912.6017,935.7063,966.3941,1016.1272,1025.4215,1031.6679,1048.418,1076.3559,1051.4127,1129.4764,1165.6478,1199.5673,1235.7172,1268.1342,1252.3053,1227.8325,1239.0399,1216.0913,1220.4027,1215.9991,1294.5115,1298.4894,1300.1689,
Barbados,BRB,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,0.5004,0.5097,0.5634,0.5732,0.5298,0.578,0.554,0.6076,0.6122,0.6165,0.6288,0.6149,0.5974,0.6083,0.7048,0.7665,0.7968,0.7539,0.7658,0.8461,0.8599,0.8281,0.8158,0.7769,0.7642,0.7767,0.7704,0.8669,0.9341,0.9679,0.8398,0.8017,0.8297,0.8592,0.854,0.8674,0.905,0.8724,1.0096,1.003,1.0206,0.8796,0.839,0.9234,0.8609,0.9125,0.9673,0.8774,0.935,1.0317,0.8647,0.9494,0.9518,0.989,
Brunei Darussalam,BRN,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,2.7793,2.6193,3.1897,4.0063,4.1739,4.3267,5.0889,5.2641,5.3734,5.173,6.0481,4.9951,5.3399,5.7293,5.55,5.4061,5.1936,5.2288,5.5406,5.4912,5.8934,6.4202,6.6325,6.9519,7.0846,7.3667,7.7346,8.2437,7.7118,8.1932,8.5252,8.7702,7.9383,8.9541,8.4526,8.1349,11.3679,10.854,12.9558,11.0668,10.0265,10.7253,10.3895,10.3258,10.5339,9.8231,10.2321,10.2295,10.4579,10.1267,12.574,12.3323,11.8873,12.1579,
Bhutan,BTN,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,0.7023,0.713,0.7272,0.7399,0.7535,0.7635,0.7806,0.7968,0.8204,0.8375,0.8549,0.8906,0.9194,0.9503,0.968,1.0123,1.0381,1.1139,1.0351,1.0437,1.2537,1.1633,1.1181,1.1391,1.2019,1.3614,1.3833,1.3881,1.3982,1.4195,1.4264,1.4241,1.4448,1.4673,1.4692,1.6143,1.722,1.7535,1.7662,1.9456,2.0664,2.2992,2.2321,2.3503,2.3922,2.5827,2.74,2.8985,3.1661,3.3306,3.0652,3.187,3.2176,3.2549,
Botswana,BWA,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,,,,,,,,,,,3.3805,3.5069,4.0798,4.3087,4.9018,5.4675,6.2934,6.8433,6.5983,6.6814,6.8892,7.1323,7.3313,7.0441,6.7934,6.5027,6.6767,6.7883,7.7438,8.1864,9.1835,8.2089,8.4621,8.2055,8.3339,9.3621,8.4417,8.7072,9.5564,10.2038,10.5656,9.9862,9.5509,9.3206,9.2631,9.9199,9.7296,9.9628,10.2457,10.0611,9.9064,10.3103,9.4748,11.4277,12.5857,13.0306,12.148,12.4307,13.4336,12.17,10.5047,11.5476,12.3927,12.7128,
